Coriell sample ID, family pedID, individual pedID, father pedID, mother pedID, sex, individual LSID, sample LSID
NA18558,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18558:1,urn:LSID:dcc.hapmap.org:Sample:NA18558:1
NA18532,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18532:1,urn:LSID:dcc.hapmap.org:Sample:NA18532:1
NA18561,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18561:1,urn:LSID:dcc.hapmap.org:Sample:NA18561:1
NA18562,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18562:1,urn:LSID:dcc.hapmap.org:Sample:NA18562:1
NA18537,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18537:1,urn:LSID:dcc.hapmap.org:Sample:NA18537:1
NA18603,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18603:1,urn:LSID:dcc.hapmap.org:Sample:NA18603:1
NA18540,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18540:1,urn:LSID:dcc.hapmap.org:Sample:NA18540:1
NA18605,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18605:1,urn:LSID:dcc.hapmap.org:Sample:NA18605:1
NA18542,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18542:1,urn:LSID:dcc.hapmap.org:Sample:NA18542:1
NA18545,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18545:1,urn:LSID:dcc.hapmap.org:Sample:NA18545:1
NA18572,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18572:1,urn:LSID:dcc.hapmap.org:Sample:NA18572:1
NA18547,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18547:1,urn:LSID:dcc.hapmap.org:Sample:NA18547:1
NA18609,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18609:1,urn:LSID:dcc.hapmap.org:Sample:NA18609:1
NA18550,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18550:1,urn:LSID:dcc.hapmap.org:Sample:NA18550:1
NA18608,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18608:1,urn:LSID:dcc.hapmap.org:Sample:NA18608:1
NA18552,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18552:1,urn:LSID:dcc.hapmap.org:Sample:NA18552:1
NA18611,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18611:1,urn:LSID:dcc.hapmap.org:Sample:NA18611:1
NA18555,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18555:1,urn:LSID:dcc.hapmap.org:Sample:NA18555:1
NA18564,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18564:1,urn:LSID:dcc.hapmap.org:Sample:NA18564:1
NA18566,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18566:1,urn:LSID:dcc.hapmap.org:Sample:NA18566:1
NA18563,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18563:1,urn:LSID:dcc.hapmap.org:Sample:NA18563:1
NA18570,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18570:1,urn:LSID:dcc.hapmap.org:Sample:NA18570:1
NA18612,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18612:1,urn:LSID:dcc.hapmap.org:Sample:NA18612:1
NA18571,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18571:1,urn:LSID:dcc.hapmap.org:Sample:NA18571:1
NA18620,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18620:1,urn:LSID:dcc.hapmap.org:Sample:NA18620:1
NA18621,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18621:1,urn:LSID:dcc.hapmap.org:Sample:NA18621:1
NA18594,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18594:1,urn:LSID:dcc.hapmap.org:Sample:NA18594:1
NA18622,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18622:1,urn:LSID:dcc.hapmap.org:Sample:NA18622:1
NA18573,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18573:1,urn:LSID:dcc.hapmap.org:Sample:NA18573:1
NA18623,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18623:1,urn:LSID:dcc.hapmap.org:Sample:NA18623:1
NA18576,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18576:1,urn:LSID:dcc.hapmap.org:Sample:NA18576:1
NA18577,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18577:1,urn:LSID:dcc.hapmap.org:Sample:NA18577:1
NA18624,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18624:1,urn:LSID:dcc.hapmap.org:Sample:NA18624:1
NA18579,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18579:1,urn:LSID:dcc.hapmap.org:Sample:NA18579:1
NA18632,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18632:1,urn:LSID:dcc.hapmap.org:Sample:NA18632:1
NA18582,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18582:1,urn:LSID:dcc.hapmap.org:Sample:NA18582:1
NA18633,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18633:1,urn:LSID:dcc.hapmap.org:Sample:NA18633:1
NA18635,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18635:1,urn:LSID:dcc.hapmap.org:Sample:NA18635:1
NA18592,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18592:1,urn:LSID:dcc.hapmap.org:Sample:NA18592:1
NA18636,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18636:1,urn:LSID:dcc.hapmap.org:Sample:NA18636:1
NA18593,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:CH18593:1,urn:LSID:dcc.hapmap.org:Sample:NA18593:1
NA18637,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:CH18637:1,urn:LSID:dcc.hapmap.org:Sample:NA18637:1
NA18942,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18942:1,urn:LSID:dcc.hapmap.org:Sample:NA18942:1
NA18940,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18940:1,urn:LSID:dcc.hapmap.org:Sample:NA18940:1
NA18951,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18951:1,urn:LSID:dcc.hapmap.org:Sample:NA18951:1
NA18943,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18943:1,urn:LSID:dcc.hapmap.org:Sample:NA18943:1
NA18947,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18947:1,urn:LSID:dcc.hapmap.org:Sample:NA18947:1
NA18944,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18944:1,urn:LSID:dcc.hapmap.org:Sample:NA18944:1
NA18945,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18945:1,urn:LSID:dcc.hapmap.org:Sample:NA18945:1
NA18949,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18949:1,urn:LSID:dcc.hapmap.org:Sample:NA18949:1
NA18948,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18948:1,urn:LSID:dcc.hapmap.org:Sample:NA18948:1
NA18952,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18952:1,urn:LSID:dcc.hapmap.org:Sample:NA18952:1
NA18956,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18956:1,urn:LSID:dcc.hapmap.org:Sample:NA18956:1
NA18964,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18964:1,urn:LSID:dcc.hapmap.org:Sample:NA18964:1
NA18953,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18953:1,urn:LSID:dcc.hapmap.org:Sample:NA18953:1
NA18968,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18968:1,urn:LSID:dcc.hapmap.org:Sample:NA18968:1
NA18959,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18959:1,urn:LSID:dcc.hapmap.org:Sample:NA18959:1
NA18969,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18969:1,urn:LSID:dcc.hapmap.org:Sample:NA18969:1
NA18960,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18960:1,urn:LSID:dcc.hapmap.org:Sample:NA18960:1
NA18961,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18961:1,urn:LSID:dcc.hapmap.org:Sample:NA18961:1
NA18972,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18972:1,urn:LSID:dcc.hapmap.org:Sample:NA18972:1
NA18965,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18965:1,urn:LSID:dcc.hapmap.org:Sample:NA18965:1
NA18973,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18973:1,urn:LSID:dcc.hapmap.org:Sample:NA18973:1
NA18966,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18966:1,urn:LSID:dcc.hapmap.org:Sample:NA18966:1
NA18975,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18975:1,urn:LSID:dcc.hapmap.org:Sample:NA18975:1
NA18967,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18967:1,urn:LSID:dcc.hapmap.org:Sample:NA18967:1
NA18976,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18976:1,urn:LSID:dcc.hapmap.org:Sample:NA18976:1
NA18978,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18978:1,urn:LSID:dcc.hapmap.org:Sample:NA18978:1
NA18970,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18970:1,urn:LSID:dcc.hapmap.org:Sample:NA18970:1
NA18980,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18980:1,urn:LSID:dcc.hapmap.org:Sample:NA18980:1
NA18995,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18995:1,urn:LSID:dcc.hapmap.org:Sample:NA18995:1
NA18981,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18981:1,urn:LSID:dcc.hapmap.org:Sample:NA18981:1
NA18971,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18971:1,urn:LSID:dcc.hapmap.org:Sample:NA18971:1
NA18974,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18974:1,urn:LSID:dcc.hapmap.org:Sample:NA18974:1
NA18987,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18987:1,urn:LSID:dcc.hapmap.org:Sample:NA18987:1
NA18990,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18990:1,urn:LSID:dcc.hapmap.org:Sample:NA18990:1
NA18991,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18991:1,urn:LSID:dcc.hapmap.org:Sample:NA18991:1
NA18994,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA18994:1,urn:LSID:dcc.hapmap.org:Sample:NA18994:1
NA18992,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18992:1,urn:LSID:dcc.hapmap.org:Sample:NA18992:1
NA18997,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18997:1,urn:LSID:dcc.hapmap.org:Sample:NA18997:1
NA18998,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18998:1,urn:LSID:dcc.hapmap.org:Sample:NA18998:1
NA19000,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA19000:1,urn:LSID:dcc.hapmap.org:Sample:NA19000:1
NA19005,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA19005:1,urn:LSID:dcc.hapmap.org:Sample:NA19005:1
NA18999,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA18999:1,urn:LSID:dcc.hapmap.org:Sample:NA18999:1
NA19007,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA19007:1,urn:LSID:dcc.hapmap.org:Sample:NA19007:1
NA19003,,1,0,0,2,urn:LSID:dcc.hapmap.org:Individual:JA19003:1,urn:LSID:dcc.hapmap.org:Sample:NA19003:1
NA19012,,1,0,0,1,urn:LSID:dcc.hapmap.org:Individual:JA19012:1,urn:LSID:dcc.hapmap.org:Sample:NA19012:1
